pdv,fecha,pago,cp,banco
PDV 108058,20230206,100.00,1,BANCO 52
PDV 109307,20230504,100.00,1,BANCO 9
PDV 101218,20230425,50.00,1,BANCO 82
PDV 49187,20230429,50.00,1,BANCO 75
PDV 30429,20230518,25.00,1,BANCO 82
PDV 98744,20221023,102.00,1,BANCO 9
PDV 94069,20221121,60.00,1,BANCO 9
PDV 106741,20221014,20.00,1,BANCO 82
PDV 103667,20220214,90.00,1,BANCO 9
PDV 112374,20230126,100.00,1,BANCO 9
PDV 101085,20230328,40.00,1,BANCO 85
PDV 99538,20210712,25.00,1,BANCO 82
PDV 104633,20211126,100.00,1,BANCO 85
PDV 25260,20220206,44.46,1,BANCO 7
PDV 106103,20220924,70.00,1,BANCO 82
PDV 110406,20230101,30.00,1,BANCO 9
PDV 112034,20230602,30.00,1,BANCO 9
PDV 40734,20220611,20.00,1,BANCO 9
PDV 110305,20230718,20.00,1,BANCO 9
PDV 46951,20220112,200.00,1,BANCO 83
PDV 108260,20211208,126.00,1,BANCO 83
PDV 99032,20220302,80.00,1,BANCO 85
PDV 107749,20220809,17.00,1,BANCO 9
PDV 107898,20220228,64.95,1,BANCO 9
PDV 32772,20220816,37.21,1,BANCO 9
PDV 45429,20230109,100.00,1,BANCO 9
PDV 4591,20211009,60.00,1,BANCO 9
PDV 94549,20210823,50.00,1,BANCO 9
PDV 104057,20211211,100.00,1,BANCO 85
PDV 3067,20211231,160.00,1,BANCO 9
PDV 107335,20220619,107.00,1,BANCO 9
PDV 44557,20221202,210.00,1,BANCO 9
PDV 100768,20221116,50.00,1,BANCO 87
PDV 92912,20230306,600.00,1,BANCO 74
PDV 95167,20230311,30.00,1,BANCO 82
PDV 61362,20230513,50.00,1,BANCO 9
PDV 111995,20230420,60.00,1,BANCO 9
PDV 105169,20211021,30.00,1,BANCO 82
PDV 103505,20211129,20.00,1,BANCO 9
PDV 32717,20211020,50.00,1,BANCO 82
PDV 40850,20220124,30.00,1,BANCO 85
PDV 101191,20220303,10.00,1,BANCO 82
PDV 100209,20220614,100.00,1,BANCO 9
PDV 98693,20221025,5.00,1,BANCO 9
PDV 43929,20230303,20.00,1,BANCO 82
PDV 47534,20230116,200.00,1,BANCO 9
PDV 99211,20230313,140.00,1,BANCO 86
PDV 97801,20220223,100.00,1,BANCO 9
PDV 49698,20220511,170.00,1,BANCO 82
PDV 111635,20220822,30.00,1,BANCO 52
PDV 102554,20220901,7.00,1,BANCO 83
PDV 33028,20221206,80.00,1,BANCO 86
PDV 106170,20221025,200.00,1,BANCO 82
PDV 100413,20211108,60.00,1,BANCO 9
PDV 47251,20220325,150.80,1,BANCO 82
PDV 110591,20220907,200.00,1,BANCO 82
PDV 103118,20220704,100.00,1,BANCO 9
PDV 107717,20221227,20.00,1,BANCO 82
PDV 101759,20230501,35.00,1,BANCO 9
PDV 49931,20220214,30.00,1,BANCO 83
PDV 92480,20220214,50.00,1,BANCO 9
PDV 99461,20221215,20.00,1,BANCO 9
PDV 117098,20230703,27.00,1,BANCO 85
PDV 101317,20210820,500.00,1,BANCO 9
PDV 49797,20220315,40.00,1,BANCO 85
PDV 37705,20220204,16.00,1,BANCO 9
PDV 94281,20220423,37.50,1,BANCO 9
PDV 103095,20221017,10.00,1,BANCO 9
PDV 108825,20220822,15.95,1,BANCO 9
PDV 40771,20230426,70.00,1,BANCO 9
PDV 109982,20230722,100.00,1,BANCO 9
PDV 104742,20220606,49.00,1,BANCO 9
PDV 108355,20221022,20.00,1,BANCO 74
PDV 1354,20221003,50.00,1,BANCO 9
PDV 109703,20221117,280.00,1,BANCO 9
PDV 100876,20230404,126.60,1,BANCO 86
PDV 108920,20230426,34.00,1,BANCO 9
PDV 106078,20211011,40.00,1,BANCO 85
PDV 105957,20210805,10.00,1,BANCO 9
PDV 49909,20211004,20.00,1,BANCO 85
PDV 45940,20220118,700.00,1,BANCO 82
PDV 106376,20220209,140.00,1,BANCO 86
PDV 1592,20220429,13.00,1,BANCO 2
PDV 108708,20230601,400.00,1,BANCO 75
PDV 110745,20220616,50.00,1,BANCO 9
PDV 103346,20220522,40.00,1,BANCO 9
PDV 45490,20220805,50.00,1,BANCO 82
PDV 6527,20220919,400.00,1,BANCO 9
PDV 95153,20230201,35.00,1,BANCO 82
PDV 43758,20230306,1000.00,1,BANCO 9
PDV 105119,20210810,100.00,1,BANCO 9
PDV 98329,20210917,1.00,1,BANCO 9
PDV 1592,20211208,10.00,1,BANCO 2
PDV 107799,20220103,335.00,1,BANCO 86
PDV 18053,20220603,100.00,1,BANCO 75
PDV 103464,20220531,129.00,1,BANCO 9
PDV 107392,20230421,50.00,1,BANCO 75
PDV 102067,20230421,100.00,1,BANCO 9
PDV 44607,20230123,40.00,1,BANCO 9
PDV 103101,20230123,10.00,1,BANCO 82
PDV 9461,20220613,10.00,1,BANCO 86
PDV 109515,20220606,40.00,1,BANCO 82
PDV 107779,20220606,40.00,1,BANCO 9
PDV 1592,20221230,1.00,1,BANCO 2
PDV 109604,20230419,100.00,1,BANCO 9
PDV 99405,20230704,160.00,1,BANCO 9
PDV 49703,20210902,60.00,1,BANCO 75
PDV 99364,20211029,20.00,1,BANCO 85
PDV 106903,20210915,20.00,1,BANCO 9
PDV 89968,20211116,50.00,1,BANCO 83
PDV 105547,20211117,200.00,1,BANCO 9
PDV 98873,20211020,300.00,1,BANCO 82
PDV 104907,20220413,300.00,1,BANCO 9
PDV 95668,20220718,200.00,1,BANCO 83
PDV 109661,20220926,80.00,1,BANCO 9
PDV 111443,20230227,255.00,1,BANCO 82
PDV 94863,20211221,400.00,1,BANCO 9
PDV 1592,20220202,5.00,1,BANCO 2
PDV 99263,20211229,450.00,1,BANCO 9
PDV 99059,20220517,100.00,1,BANCO 9
PDV 95668,20220726,180.00,1,BANCO 83
PDV 102535,20220105,145.00,1,BANCO 9
PDV 99122,20210917,50.00,1,BANCO 86
PDV 96208,20210927,500.00,1,BANCO 86
PDV 50701,20220105,40.00,1,BANCO 9
PDV 106036,20210719,40.00,1,BANCO 82
PDV 100917,20210820,20.00,1,BANCO 9
PDV 104623,20220315,10.00,1,BANCO 9
PDV 115823,20221203,180.00,1,BANCO 83
PDV 107410,20230222,17.00,1,BANCO 9
PDV 102582,20230506,80.00,1,BANCO 9
